問題,答え,フォルダ名
Ch. Haut-Brion,"Pessac-Leognan,Pessac,赤",グラーブ格付け
Ch. Pape Clement,"Pessac-Leognan,Pessac,赤",グラーブ格付け
Ch. La Mission Haut Brion,"Pessac-Leognan,Talence,赤(白)",グラーブ格付け
Ch. La Tour Haut Brion,"Pessac-Leognan,Talence,赤☓",グラーブ格付け
Ch. Smith Haut Lafitte,"Pessac-Leognan,Martillac,赤",グラーブ格付け
Ch. Haut Bailly,"Pessac-Leognan,Leognan,赤",グラーブ格付け
Ch. de Fieuzal,"Pessac-Leognan,Leognan,赤",グラーブ格付け
Ch. Carbonnieux,"Pessac-Leognan,Leognan,白赤",グラーブ格付け
Domaine de Chevalier,"Pessac-Leognan,Leognan,白赤",グラーブ格付け
Ch. Malartic-Lagraviere,"Pessac-Leognan,Leognan,白赤",グラーブ格付け
Ch. Olivier ,"Pessac-Leognan,Leognan,白赤",グラーブ格付け
Ch. La Tour Martillac ,"Pessac-Leognan,Martillac,白赤",グラーブ格付け
Ch. Bouscaut ,"Pessac-Leognan,Cadaujac,白赤",グラーブ格付け
Ch. Laville Haut Brion ,"Pessac-Leognan,Talence,白赤",グラーブ格付け
Ch. Couhins ,"Pessac-Leognan,Villenave-d'Ornon,白赤",グラーブ格付け
Ch. Couhins-Lurton ,"Pessac-Leogna, Villenave-d'Ornon,白赤",グラーブ格付け
,,
St-Estephe,Ch.Montrose,メドック2級
