サンテステフに,Ch.Montrose、Ch. モンローズ、St-Estephe,メドック2級,
ローズを見つけたです,Ch.Cos d'Estournel、Ch. コス・デストゥルネル、St-Estephe,メドック2級,
ポイヤックにピジョンが,Ch.Pichon-Longueville Baron、Ch. ピション・ロングヴィル・バロン、Pauillac,メドック2級,
飛んでいた～,Ch.Pichon-Longueville Comtesse de Lalande、Ch. ピション・ロングヴィル・コンテス・ド・ラランド、Pauillac,メドック2級,
さあ、ジュリアン、デュする,Ch.Ducru-Beaucaillou、Ch. デュクリュ・ボーカイユ、St-Julien,メドック2級,
レオヴィル3世,Ch.Leoville Poyferre、Ch. レオヴィル・ポアフェレ、St-Julien,メドック2級,
レオヴィル3世,Ch.Leoville Barton、Ch. レオヴィル・バルトン、St-Julien,メドック2級,
レオヴィル3世,Ch.Leoville Las Cases、Ch. レオヴィル・ラス・カーズ、St-Julien,メドック2級,
ローズ,Ch.Gruaud Larose、Ch. グリュオ・ラローズ、St-Julien,メドック2級,
マルっとブラっと,Ch.Brane-Cantenac、Ch. ブラーヌ・カントナック、Margaux Cantenac,メドック2級,
ローザン,Ch.Rauzan-Segla、Ch. ローザン・セグラ、Margaux,メドック2級,
デュルデュル,Ch.Rauzan-Gassies、Ch. ローザン・ガシー、Margaux,メドック2級,
デュルデュル,Ch.Durfort-Vivens、Ch. デュルフォール・ヴィヴァンス、Margaux,メドック2級,
昆布～,Ch.Lascombes、Ch. ラスコンブ、Margaux,メドック2級,
